id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1199611989674225666,1199611989674225666,1574844760000,2019-11-27,08:52:40,UTC,1557564031,ashutos30063101,ASHUTOSH,,"@Cybercellindia @PMOIndia Help me sir. I am the victim of Cyber Fraud n lost my 50K Rps. (20K, 20K and 10K) on 20-May-2019 through PhonePe. Complain rgstrd to PhonePe and in Cyber Crime Gurgaon same time. It's been 7 month didn't get my money back. I lst my all savings in 10 mts  pic.twitter.com/4u2U6wfU2p","['cybercellindia', 'pmoindia']",[],['https://pbs.twimg.com/media/EKXgvOOU8AApSw8.jpg'],0,0,0,[],[],https://twitter.com/ASHUTOS30063101/status/1199611989674225666,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1557564031', 'username': 'ASHUTOS30063101'}, {'user_id': '766899733235249154', 'username': 'Cybercellindia'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",
1199608856600440834,1199608856600440834,1574844013000,2019-11-27,08:40:13,UTC,1557564031,ashutos30063101,ASHUTOSH,,"@PMOIndia Help me sir. I am the victim of Cyber Fraud n lost my 50K Rps. (20K, 20K and 10K) on 20-May-2019 through PhonePe. Complain rgstrd to PhonePe and in Cyber Crime Gurgaon same time. It's been 7 month didn't get my money back. I lost my all savings in just 10 mts. Pls help.  pic.twitter.com/t6tOXynTK6",['pmoindia'],[],['https://pbs.twimg.com/media/EKXd42uVUAAXXtW.jpg'],1,0,0,[],[],https://twitter.com/ASHUTOS30063101/status/1199608856600440834,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1557564031', 'username': 'ASHUTOS30063101'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",
1199579323021197312,1199579323021197312,1574836972000,2019-11-27,06:42:52,UTC,1195779695184240640,sanjubh07254287,Saanjh Bhandari,,"#GodMorningWednesday
Films are spoiling the society
The nudity shown in it gives rise to crime in society
Therefore,  one should to see leave the film and do devotion to God (Kabir sahib ji) so that a civil society can be built
Must Watch SadhanaTV 07:30PM
 pic.twitter.com/DMt2BIt7fJ",[],[],[],0,1,2,['#godmorningwednesday'],[],https://twitter.com/SanjuBh07254287/status/1199579323021197312,False,,1,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1195779695184240640', 'username': 'SanjuBh07254287'}]",
1199567799498096640,1199567799498096640,1574834224000,2019-11-27,05:57:04,UTC,864784800829161472,stvharyananews2,STV Haryana News,,"उकलाना: चोरों ने मुंह पर कपड़ा बांधकर ATM तोड़ने की कोशिश की...CCTV में कैद हुई तस्वीरें
#Crime
#StvHaryanaNews https://youtu.be/21XT9-lxbJQ ",[],['https://youtu.be/21XT9-lxbJQ'],[],0,0,0,"['#crime', '#stvharyananews']",[],https://twitter.com/stvharyananews2/status/1199567799498096640,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '864784800829161472', 'username': 'stvharyananews2'}]",
1199340507043749888,1199007187017719810,1574780034000,2019-11-26,14:53:54,UTC,181233501,rahetgemini,راحت فتح  Rahet Fateh,,Our only crime is that we believed that state and elected govt would stand for the rule of the law in this great land.  Alas we were cheated by all,"['shwetabharti22', 'amrapali_buyer', 'pti_news', 'narendramodi', 'nsitharaman', 'myogiadityanath']",[],[],0,14,8,[],[],https://twitter.com/rahetgemini/status/1199340507043749888,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '181233501', 'username': 'rahetgemini'}, {'user_id': '2249797939', 'username': 'Shwetabharti22'}, {'user_id': '1198833211108810753', 'username': 'Amrapali_Buyer'}, {'user_id': '245687754', 'username': 'PTI_News'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '58243368', 'username': 'nsitharaman'}, {'user_id': '3437532637', 'username': 'myogiadityanath'}]",
1199323513707843584,1199323513707843584,1574775982000,2019-11-26,13:46:22,UTC,1195779695184240640,sanjubh07254287,Saanjh Bhandari,,"#GodMorning_MeatEaters
To kill animals is a unforgivable crime.
Every soul is of and from Allah Kabir.
Who kill animal will be punished by the God rule.
Either he will 
""Sant Rampal Ji Maharaj"" explaining the actual way of worship of Allah Kabir.
Watch sadhnaTV 7 :30pm IST",[],[],[],0,0,0,['#godmorning_meateaters'],[],https://twitter.com/SanjuBh07254287/status/1199323513707843584,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1195779695184240640', 'username': 'SanjuBh07254287'}]",
1199320281375920135,1199320281375920135,1574775212000,2019-11-26,13:33:32,UTC,1195779695184240640,sanjubh07254287,Saanjh Bhandari,,"#GodMorning_MeatEaters
🦏🦀🐟🐔🐇🐂❌
To kill animals is a unforgivable crime
Every soul is of and from Allah Kabir
Who kill animal will be punished by the God rule
Either he will 
Sant Rampal Ji Maharaj explaining the actual way of worship of Allah Kabir.  pic.twitter.com/uA9ODLVI3b",[],[],[],0,1,2,['#godmorning_meateaters'],[],https://twitter.com/SanjuBh07254287/status/1199320281375920135,False,,1,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '1195779695184240640', 'username': 'SanjuBh07254287'}]",
1199272136050741249,1199272136050741249,1574763733000,2019-11-26,10:22:13,UTC,708349841919709184,voxtrail,VoxTrail,,"With rising crime rates, everyone is worried about the security and the safety of their families. 
Technology has come up with various benefits, one of them is knowing the live location of your family members. 
To know more visit:  https://bit.ly/2KW0kOJ 
.
.
#gps #gpstracker pic.twitter.com/uUoRjiptWe",[],['https://bit.ly/2KW0kOJ'],['https://pbs.twimg.com/media/EKSrpXTUwAULYid.jpg'],0,0,0,"['#gps', '#gpstracker']",[],https://twitter.com/voxtrail/status/1199272136050741249,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '708349841919709184', 'username': 'voxtrail'}]",
1199241342049669120,1199233190520479744,1574756391000,2019-11-26,08:19:51,UTC,70076405,rdpatentlawyer,Rahul Dev,,"What's the bigger crime, activating without permission, or Gasolina :-)","['selvamraja', 'airtelindia', 'airtel_presence', 'trai']",[],[],1,0,1,[],[],https://twitter.com/rdpatentlawyer/status/1199241342049669120,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '70076405', 'username': 'rdpatentlawyer'}, {'user_id': '58855260', 'username': 'selvamraja'}, {'user_id': '176355348', 'username': 'airtelindia'}, {'user_id': '103323813', 'username': 'Airtel_Presence'}, {'user_id': '3321203251', 'username': 'TRAI'}]",
1199226185588170752,1199014671035981829,1574752777000,2019-11-26,07:19:37,UTC,25546571,somilagrawal,Somil Agrawal,,"Selling PII is a crime as long as it's not the Govt who is doing it 😂 Now I understand why Govts frame tough #DataPrivacy laws applicable for private sector, they want to play in a monopoly market and themselves be the only source of PII 🤦‍♂️🤦‍♂️🤦‍♂️",['benedictevans'],[],[],0,0,1,['#dataprivacy'],[],https://twitter.com/somilagrawal/status/1199226185588170752,False,,0,,"28.5275198,77.0688985,10km",,,,,"[{'user_id': '25546571', 'username': 'somilagrawal'}, {'user_id': '1236101', 'username': 'benedictevans'}]",
